ensemble,increment
101,146524475643025739
101,153605032304646695
101,226054433572507739
101,304144916196761415
101,466953671618136979
101,485374101484090673
101,559233562207948419
101,584964062828231647
101,610127047150373877
101,665824966437298333
101,685210901995496619
101,911934887149058097
101,936089008328254581
101,1098620749828532895
101,1204800118104588419
101,1232337304665903197
101,1249200411345389771
101,1363408795141371741
101,1375598775762106735
101,1484136432784461119
101,1536468657844772377
101,1598347169518602493
101,1700122520171767019
101,1793441854008560949
101,1933849469349845045
101,1987786860408508123
101,2095650811803493295
101,2235571228903640973
101,2322556612606252179
101,2554231240779680171
101,2646017698238613575
101,2759508392402822421
101,2842302708290728323
101,2875148149632682491
101,2964424757040537343
101,2999941767714681055
101,3137399754346136171
101,3173198521555267485
101,3371325955708668859
101,3476575408754545801
101,3497772817947314447
101,3659539883329367789
101,3661970685300145909
101,3707923417659854753
101,3718128433779029251
101,3786865449428115159
101,3845701029097874529
101,3860684847135636619
101,3917909946090641513
101,4091216303641105399
101,4212279972259451435
101,4287054287799092637
101,4422641078198997601
101,4447125278980782989
101,4471177297902155931
101,4539495206783152895
101,4589096865576735331
101,4612990932345897071
101,4681594706064338935
101,4699479067363608449
101,4721398326536567121
101,4750335331026322339
101,4872345476978669655
101,4886205382618023715
101,4893020119461442657
101,4956914663532813675
101,5005281247317566143
101,5122465865543880789
101,5124848299460147329
101,5152592626447322763
101,5190298347423285465
101,5640749073968621887
101,5641293773045931737
101,5671226995417176865
101,5774051195802888163
101,5959634417380976637
101,5967798891264477385
101,6044946342834456187
101,6058672351175742767
101,6636466890968121831
101,6651462516095954515
101,6782900951935337255
101,6794573082001003747
101,6825670709055187229
101,6836615723494125689
101,6972322691986284543
101,7223285749440245063
101,7246279055016954037
101,7278067231196056173
101,7383472795027478985
101,7491754731498891927
101,7728760472192479771
101,7736392218267467625
101,7775669413468457233
101,7786828703493736107
101,7859169662885563007
101,8079808695679105379
101,8082131776174289419
101,8484018875227386511
101,8567547869623735457
101,8589444168739630697
103,8598456561500868343
103,8672751412306507243
103,9143705180506268381
103,9244258294268328587
103,9388901872464435569
103,9422492827054936501
103,9456308449957822055
103,9507781556059699061
103,9696457046806419263
103,9729337195483574007
103,9863369227588016151
103,9921175541685953509
103,10137615451416798435
103,10312134973015118047
103,10379246285966253989
103,10499989307133346563
103,10506534778867743157
103,10650622812875193543
103,10662924274482362177
103,10743805976516970199
103,10747771107899323443
103,10778165833570245077
103,10838160795341229647
103,10949265416501979873
103,11049317357387543875
103,11429862764767822769
103,11468603565836149271
103,11872470900323573395
103,12108920484203594087
103,12258440968294223911
103,12408421628422252731
103,12793661110527789863
103,12893281509345372687
103,12898268128553299627
103,12920877602378738907
103,13244626519883974871
103,13382913976026797219
103,13445613365032429941
103,13463255510765751357
103,13555475367140435225
103,13568719412257549517
103,13577598786151355877
103,13587995319496389661
103,13640841801220060467
103,13714492398911836645
103,13757391687887514011
103,13771779423964617329
103,13857116572425473673
103,13903050994016898907
103,13942522720872191441
103,14041187426329037747
103,14076945399172378093
103,14430857147420789981
103,14448007945659716913
103,14490802313877533571
103,14605302898486900681
103,14613273814712587919
103,14692282659503718831
103,14704788021139651877
103,14958091926587228631
103,15083324983819466389
103,15119004276345636931
103,15256798689908529003
103,15463884850108435225
103,15632728051678700097
103,15743851346628799135
103,15818785373473589275
103,15856943470973113229
103,15858187305363600347
103,15872130846591825695
103,15900118596045048357
103,15983179648612372449
103,16105392096717649705
103,16167585323995541485
103,16184509974362258263
103,16189540309763493423
103,16441454138692999703
103,16448918769974200667
103,16735003279389618673
103,16750976578907444705
103,16815790198440635575
103,16850440605587740261
103,16915002014430041911
103,16916273736709994147
103,17192165451857483969
103,17271414783364434603
103,17540432885864107125
103,17668822887852529687
103,17714066974538429891
103,17780461755925999457
103,17784584529293062749
103,17794825403265239051
103,17872150710345354683
103,17913454858262106669
103,18003555722856509679
103,18109989297967253109
103,18149577080636063075
103,18227719833080590427
103,18312065300982644491
103,18345552990917141743
103,18359676561583501783
103,18397652283926110173
103,18399700011171906439
